delivery_id,match_id,over,ball,batting_team,bowling_team,batsman,bowler,runs_batsman,runs_extras,total_runs
1,1,1,1,GT,MI,Shubman Gill,Ishan Kishan,0,0,0
2,1,1,2,GT,MI,Wriddhiman Saha,Suryakumar Yadav,2,0,2
3,1,1,3,GT,MI,Shubman Gill,Ishan Kishan,1,0,1
4,1,1,4,GT,MI,Wriddhiman Saha,Rohit Sharma,0,0,0
5,1,1,5,GT,MI,Shubman Gill,Suryakumar Yadav,4,0,4
6,1,1,6,GT,MI,David Miller,Rohit Sharma,6,0,6
7,1,2,1,GT,MI,David Miller,Suryakumar Yadav,0,0,0
8,1,2,2,GT,MI,David Miller,Suryakumar Yadav,0,0,0
9,1,2,3,GT,MI,David Miller,Ishan Kishan,1,0,1
10,1,2,4,GT,MI,Wriddhiman Saha,Ishan Kishan,0,0,0
11,1,2,5,GT,MI,David Miller,Ishan Kishan,2,0,2
12,1,2,6,GT,MI,Wriddhiman Saha,Rohit Sharma,0,1,1
13,1,3,1,GT,MI,Shubman Gill,Rohit Sharma,0,0,0
14,1,3,2,GT,MI,David Miller,Rohit Sharma,0,0,0
15,1,3,3,GT,MI,David Miller,Ishan Kishan,1,0,1
16,1,3,4,GT,MI,Shubman Gill,Rohit Sharma,4,0,4
17,1,3,5,GT,MI,Shubman Gill,Ishan Kishan,0,0,0
18,1,3,6,GT,MI,Shubman Gill,Rohit Sharma,0,0,0
19,1,4,1,GT,MI,Wriddhiman Saha,Ishan Kishan,1,0,1
20,1,4,2,GT,MI,David Miller,Rohit Sharma,0,0,0
21,1,4,3,GT,MI,Shubman Gill,Rohit Sharma,4,0,4
22,1,4,4,GT,MI,David Miller,Suryakumar Yadav,4,0,4
23,1,4,5,GT,MI,David Miller,Rohit Sharma,0,0,0
24,1,4,6,GT,MI,David Miller,Ishan Kishan,4,0,4
25,1,5,1,GT,MI,Wriddhiman Saha,Ishan Kishan,6,0,6
26,1,5,2,GT,MI,Shubman Gill,Rohit Sharma,0,0,0
27,1,5,3,GT,MI,Wriddhiman Saha,Suryakumar Yadav,6,0,6
28,1,5,4,GT,MI,Shubman Gill,Suryakumar Yadav,1,0,1
29,1,5,5,GT,MI,David Miller,Suryakumar Yadav,0,0,0
30,1,5,6,GT,MI,David Miller,Suryakumar Yadav,0,0,0
31,2,1,1,CSK,RCB,MS Dhoni,Dinesh Karthik,0,0,0
32,2,1,2,CSK,RCB,Ruturaj Gaikwad,Faf du Plessis,4,0,4
33,2,1,3,CSK,RCB,Ruturaj Gaikwad,Faf du Plessis,2,0,2
34,2,1,4,CSK,RCB,MS Dhoni,Dinesh Karthik,4,0,4
35,2,1,5,CSK,RCB,Shivam Dube,Dinesh Karthik,0,0,0
36,2,1,6,CSK,RCB,Shivam Dube,Virat Kohli,1,0,1
37,2,2,1,CSK,RCB,Shivam Dube,Faf du Plessis,4,0,4
38,2,2,2,CSK,RCB,Shivam Dube,Dinesh Karthik,0,0,0
39,2,2,3,CSK,RCB,Ruturaj Gaikwad,Faf du Plessis,6,0,6
40,2,2,4,CSK,RCB,MS Dhoni,Dinesh Karthik,0,0,0
41,2,2,5,CSK,RCB,Shivam Dube,Dinesh Karthik,4,0,4
42,2,2,6,CSK,RCB,Shivam Dube,Dinesh Karthik,0,0,0
43,2,3,1,CSK,RCB,Shivam Dube,Faf du Plessis,4,0,4
44,2,3,2,CSK,RCB,Shivam Dube,Dinesh Karthik,2,0,2
45,2,3,3,CSK,RCB,MS Dhoni,Faf du Plessis,0,0,0
46,2,3,4,CSK,RCB,Ruturaj Gaikwad,Virat Kohli,0,1,1
47,2,3,5,CSK,RCB,MS Dhoni,Virat Kohli,1,0,1
48,2,3,6,CSK,RCB,Ruturaj Gaikwad,Virat Kohli,0,0,0
49,2,4,1,CSK,RCB,MS Dhoni,Faf du Plessis,1,0,1
50,2,4,2,CSK,RCB,MS Dhoni,Virat Kohli,0,0,0
51,2,4,3,CSK,RCB,Ruturaj Gaikwad,Virat Kohli,1,0,1
52,2,4,4,CSK,RCB,Shivam Dube,Virat Kohli,0,1,1
53,2,4,5,CSK,RCB,Shivam Dube,Dinesh Karthik,0,1,1
54,2,4,6,CSK,RCB,Shivam Dube,Dinesh Karthik,1,0,1
55,2,5,1,CSK,RCB,Shivam Dube,Virat Kohli,0,0,0
56,2,5,2,CSK,RCB,Ruturaj Gaikwad,Faf du Plessis,4,0,4
57,2,5,3,CSK,RCB,MS Dhoni,Dinesh Karthik,4,0,4
58,2,5,4,CSK,RCB,Shivam Dube,Faf du Plessis,1,0,1
